index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse250,full,single,target,0,0.011219078718411933,-0.00045512528467620347,-0.0003669643078781869,-0.00045512528467620347,-0.0003669643078781869,0.007589037196403426,7269
ftse250,full,single,target,5,0.011219078718411933,-0.00038818154753862666,-0.0016603070544272617,-0.00038818154753862666,-0.0016603070544272617,0.028458361047138024,7264
ftse250,full,single,target,10,0.011219078718411933,-0.0009857022583413821,-0.0023323693060212335,-0.0009857022583413821,-0.0023323693060212335,0.02777138616670582,7259
ftse250,full,single,target,20,0.011219078718411933,-0.00016832062580488007,-0.001627659414603965,-0.00016832062580488007,-0.001627659414603965,0.26877368462034423,7249
