index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse_all_share,full,single,qe,0,-0.037006353923830615,0.03714889490401645,0.31917096239218623,-0.10981818793570285,0.035805480088041616,0.02579891114982967,0.026767986428073844,0.33514759612936607,-0.026666342249195063,0.0782641645488544,-1.3753154732383759,0.16903366147107757,4300,0.00115387389178645,8
ftse_all_share,full,single,qe,1,-0.09885672790256483,0.05017552604929307,0.048813383890974615,-0.19720075895917924,-0.0005126968459504277,0.03794151846886128,0.03918468544975827,0.3329074652444888,-0.038860465012664935,0.11474350195038749,-2.1624344233516193,0.030584706625794062,4299,0.0033569914729446593,8
ftse_all_share,full,single,qe,2,-0.055883160524893116,0.058423940875765024,0.3388139704693287,-0.17039408464139255,0.05862776359160633,-0.029319413673774934,0.051158940021217694,0.5665740075953027,-0.12959093611536163,0.07095210876781174,-0.34324124629829206,0.7314169773049669,4298,0.0023098695855402473,8
ftse_all_share,full,single,qe,3,-0.01844307802574147,0.07199423576246519,0.797816197841035,-0.15955178012017324,0.1226656240686903,0.06751488263385509,0.07000124705820798,0.33480475901041384,-0.06968756160023255,0.20471732686794275,-0.8574163830229156,0.39121480825884736,4297,0.0028980337207251683,8
ftse_all_share,full,single,qe,4,-0.01566038687969861,0.08784182816416858,0.8585035698368254,-0.18783037008146902,0.1565095963220718,0.14136866217447794,0.09326802296312843,0.12958893575948335,-0.041436662833253785,0.3241739871822097,-1.2253783415728556,0.22043270343061294,4296,0.00414510852667449,8
ftse_all_share,full,single,qe,5,-0.05066930764944038,0.10261493063092868,0.6214608214114867,-0.25179457168606056,0.15045595638717982,0.13378710952475054,0.11386211617971036,0.23999779725940495,-0.08938263818748177,0.35695685723698284,-1.2048428942050802,0.22826395739121563,4295,0.003931826874626454,8
ftse_all_share,full,single,qe,6,-0.03146051737926312,0.10150832566041847,0.7566138739171553,-0.23041683567368332,0.1674958009151571,0.10275900873756061,0.0760894084524135,0.17685454729507555,-0.04637623182916986,0.25189424930429105,-1.0495012613770442,0.2939474749973173,4294,0.0028893948034337535,8
ftse_all_share,full,single,qe,7,-0.0010991056831745805,0.11183500870078279,0.9921585794252739,-0.22029572273670886,0.21809751137035968,0.14562062689192953,0.07781483773182636,0.06129332640266353,-0.006896455062450124,0.2981377088463092,-1.0717524040366913,0.2838312562957541,4293,0.0034852451430885667,8
ftse_all_share,full,single,qe,8,0.04687182901166741,0.10311283330057952,0.6494198192260916,-0.15522932425746844,0.24897298228080328,0.19749641763619158,0.0809006129829047,0.014637622647546788,0.03893121618969836,0.3560616190826848,-1.1514945649553046,0.24952882994531822,4292,0.0044895984675636935,8
ftse_all_share,full,single,qe,9,0.0023795200618697593,0.11441472048120525,0.9834073320709393,-0.22187333208129253,0.22663237220503205,0.13910538491093316,0.06681952362523767,0.03736005713595714,0.008139118605467316,0.270071651216399,-1.0423624912494391,0.29724364969121453,4291,0.0033197571394438796,8
