index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse_all_share,pre_2009,single,path,0,0.008236539199536931,-0.0005898330768140252,-0.000541530523770699,-0.0005898330768140252,-0.000541530523770699,0.04432508172912256,2969
ftse_all_share,pre_2009,single,path,5,0.008236539199536931,-0.0010358620180609573,-0.0011778511412704649,-0.0010358620180609573,-0.0011778511412704649,0.056681938393374424,2969
ftse_all_share,pre_2009,single,path,10,0.008236539199536931,-0.001644871860229591,-0.00043900249493131167,-0.001644871860229591,-0.00043900249493131167,0.18426655680725545,2969
ftse_all_share,pre_2009,single,path,20,0.008236539199536931,-0.0022187282546231803,0.0005849652384632901,-0.0022187282546231803,0.0005849652384632901,0.3987719768459853,2969
