index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse250,pre_2009,joint,path,0,0.008236539199536931,0.0002904772486089094,6.82205702163432e-05,0.0002904772486089094,6.82205702163432e-05,0.6239227189782934,2969
ftse250,pre_2009,joint,path,5,0.008236539199536931,0.00032871483719881296,3.7923116381278933e-06,0.00032871483719881296,3.7923116381278933e-06,0.7989111745471531,2969
ftse250,pre_2009,joint,path,10,0.008236539199536931,-6.185234113400351e-05,0.0009161550887810382,-6.185234113400351e-05,0.0009161550887810382,0.5701353097126101,2969
ftse250,pre_2009,joint,path,20,0.008236539199536931,-0.0006983923306771075,0.0019041736565989524,-0.0006983923306771075,0.0019041736565989524,0.243935075634666,2969
ftse250,pre_2009,joint,target,0,0.01597584142869991,-0.0007538975475112445,-0.000581302426971732,-0.0007538975475112445,-0.000581302426971732,0.7319548263586761,2969
ftse250,pre_2009,joint,target,5,0.01597584142869991,-0.0004527560518462047,-0.0018566860415093712,-0.0004527560518462047,-0.0018566860415093712,0.385498889375429,2969
ftse250,pre_2009,joint,target,10,0.01597584142869991,-0.0011997819259173285,-0.0031332873992280896,-0.0011997819259173285,-0.0031332873992280896,0.44302868620880986,2969
ftse250,pre_2009,joint,target,20,0.01597584142869991,-0.0005769222894469607,-0.002532365935150826,-0.0005769222894469607,-0.002532365935150826,0.49219795501955477,2969
