index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse100,full,single,target,0,-0.05381202230324341,0.018870456687757935,0.004349234778836115,-0.09079811741124896,-0.016825927195237858,-0.06067352298555094,0.029824067576821506,0.04191317384974297,-0.11912869543612109,-0.0022183505349807897,0.19556284159729315,0.8449523467324119,7269,0.009603164365366013,8
ftse100,full,single,target,1,-0.07904267963628836,0.027667071276202795,0.004277702124794679,-0.13327013933764584,-0.024815219934930882,-0.033942262879892764,0.02330702435321583,0.1453068209180372,-0.07962403061219579,0.011739504852410265,-1.2457961413862804,0.21283924654706465,7268,0.011103979187536028,8
ftse100,full,single,target,2,-0.06897475437622318,0.05050098445477085,0.17199857702057708,-0.16795668390757404,0.030007175155127686,-0.04298579524708982,0.020743294516703387,0.03823987168259388,-0.08364265249982847,-0.002328937994351181,-0.4760226270516939,0.6340582578918869,7267,0.009709088758269147,8
ftse100,full,single,target,3,-0.017821439770066866,0.041978821689681985,0.6711763681937775,-0.10009993028184355,0.06445705074170982,-0.07718909500763459,0.032837693127975104,0.01874192278626433,-0.1415509735384658,-0.01282721647680339,1.1053352720759138,0.2690143395834401,7266,0.00840798571686785,8
ftse100,full,single,target,4,-0.01662191124642411,0.04253458476503984,0.6959555804798734,-0.09998969738590219,0.06674587489305397,-0.09997126579781743,0.036101769056659384,0.005620250485447016,-0.17073073314886983,-0.02921179844676504,1.4745051741522275,0.14034562561690442,7265,0.009800381900246902,8
ftse100,full,single,target,5,-0.0438736629482641,0.0528704832809341,0.40663330432065825,-0.14749981017889494,0.059752484282366736,-0.1312338799494086,0.03836357865721126,0.0006243872562745531,-0.20642649411754266,-0.05604126578127454,1.3222915665687307,0.18607107995647454,7264,0.0100718427528812,8
ftse100,full,single,target,6,-0.06663993356503523,0.05766138668757236,0.24779914108270562,-0.17965625147267705,0.0463763843426066,-0.11202349509910837,0.04036101074983126,0.005511055929562409,-0.19113107616877764,-0.03291591402943911,0.6362191864616902,0.5246335693730868,7263,0.006862736724226215,8
ftse100,full,single,target,7,-0.05695864550082153,0.05355038450359885,0.28748915289627264,-0.16191739912787528,0.04800010812623221,-0.11621615694921941,0.05780759810807643,0.04438930641728307,-0.2295190492410492,-0.0029132646573896137,0.7410795734843229,0.45864519399416204,7262,0.005571064851665697,8
ftse100,full,single,target,8,-0.0274641367414115,0.049737453412884595,0.5808235244047345,-0.1249495454306653,0.0700212719478423,-0.051301258668425366,0.054275521676312596,0.34455644485610504,-0.15768128115399804,0.05507876381714732,0.3172908708097029,0.7510229038135425,7261,0.004612595507839323,8
ftse100,full,single,target,9,-0.058666575732889796,0.05635533351223849,0.2978700013178899,-0.16912302941687724,0.051789877951097636,-0.09678458538160921,0.07524010541165764,0.19832337036274328,-0.2442551919884582,0.050686021225239755,0.4007932457110227,0.6885723521041587,7260,0.005330742656469711,8
ftse100,full,single,target,10,-0.07727498586077189,0.06089632154418561,0.20445539130541102,-0.1966317760873757,0.04208180436583191,-0.12231776906496107,0.09352520903851397,0.1909212008858655,-0.3056271787804484,0.0609916406505263,0.40185977300405046,0.6877872292145256,7259,0.005724883218872212,8
ftse100,full,single,target,11,-0.08646529470577698,0.05822122054139894,0.13751296855084172,-0.2005788869669189,0.027648297555364937,-0.1461537136079004,0.10140527216532352,0.1495046958552017,-0.34490804705193445,0.052600619836133705,0.5117128903150566,0.60885196325085,7258,0.006003543805959688,8
ftse100,full,single,target,12,-0.1052453676421544,0.06352699582267757,0.09757952637897165,-0.22975827945460242,0.019267544170293624,-0.06561467316293401,0.058614152228052475,0.26295504534144687,-0.18049841152991686,0.049269065204048834,-0.46184315710495855,0.6441937995579937,7257,0.0054943751539815455,8
ftse100,full,single,target,13,-0.10325744797183117,0.05906509706471957,0.08042985503435618,-0.21902503821868152,0.012510142275019176,-0.07384164347634094,0.06250199232157119,0.23743248812716733,-0.19634554842662047,0.048662261473938595,-0.34360227005472455,0.7311454172928562,7256,0.005589213841986185,8
