index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,pre_2009,single,path,0,-0.02928351421604108,0.044938261957695076,0.5146342241241333,-0.11736250765312344,0.058795479221041266,-0.03416285564553619,0.03358446502706452,0.3090478472547684,-0.09998840709858264,0.031662695807510265,0.08750883294699652,0.9302670646910427,2969,0.01908484195591298,8
ftse250,pre_2009,single,path,1,0.042853571527982484,0.05647049941094818,0.4479324067641284,-0.06782860731747595,0.15353575037344092,-0.04056431187369294,0.047388668288257434,0.3920023104010707,-0.13344610171867752,0.05231747797129163,1.13419682584344,0.25671199518711585,2969,0.016725474864849543,8
ftse250,pre_2009,single,path,2,0.025791191500429883,0.06477387236738649,0.6905028442546619,-0.10116559833964764,0.1527479813405074,-0.07529429710838252,0.0657036913821545,0.25180858620902236,-0.20407353221740532,0.05348493800064029,1.1005526603592628,0.27109139855861963,2969,0.012931535771524838,8
ftse250,pre_2009,single,path,3,-0.03142101313597415,0.070323537832687,0.6550147846122463,-0.16925514728804064,0.10641312101609235,-0.040220702244202294,0.06253252432130023,0.5200965888912252,-0.16278444991395075,0.08234304542554616,0.09516425670502209,0.9241843601176238,2969,0.01504259087178128,8
ftse250,pre_2009,single,path,4,-0.12371360148851698,0.08326306903711249,0.1373277927095381,-0.28690921680125747,0.039482013824223505,-0.07064590239303517,0.0730020576548398,0.333181823881304,-0.2137299353965212,0.07243813061045085,-0.48934985609831205,0.6245940300006292,2969,0.013869746794372362,8
ftse250,pre_2009,single,path,5,-0.14550212547347732,0.1068024749997161,0.17308812365900983,-0.35483497647292084,0.06383072552596622,-0.12108994108707376,0.09989169209641593,0.2254311118449771,-0.31687765759604897,0.07469777542190147,-0.171940979159547,0.8634839295956517,2969,0.010794256851189399,8
ftse250,pre_2009,single,path,6,-0.14462928099362957,0.11668765369693218,0.21517645652640593,-0.37333708223961665,0.08407852025235751,-0.17417735466560968,0.121320231453169,0.15109265672768946,-0.41196500831382094,0.06361029898260157,0.18144158883787104,0.8560209774033352,2969,0.012012643527522182,8
ftse250,pre_2009,single,path,7,-0.24328375833310023,0.12513165639728918,0.05186864827255739,-0.488541804871787,0.0019742882055865663,-0.17690497944745606,0.13048699213379117,0.17518545740331648,-0.4326594840296868,0.07884952513477464,-0.37935152078563944,0.7044268455852354,2969,0.012500298631978102,8
ftse250,pre_2009,single,path,8,-0.2439682276495497,0.13958459401605722,0.08049584312956513,-0.5175540319210219,0.029617576621922465,-0.1352190612435047,0.11984690332983351,0.25920803821816873,-0.37011899176997837,0.09968086928296899,-0.6050646698014485,0.5451360280423386,2969,0.010881718202526036,8
ftse250,pre_2009,single,path,9,-0.2727683291228637,0.155199001117157,0.07882594538081868,-0.5769583713124915,0.031421713066764057,-0.1178703577699566,0.12279319464942111,0.3371007494100208,-0.35854501928282195,0.12280430374290878,-0.7957147656314537,0.42619784255116,2969,0.009760452780330775,8
