index,sample,spec,shock,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,post_super_thursday,single,path,0,-0.08316201475544399,0.04503495895699817,0.06480365421850369,-0.1714305343111604,0.005106504800272416,-0.04868936257752041,0.035513531897606296,0.17037223188801864,-0.11829588509682876,0.020917159941787923,-0.6007685277056701,0.5479941689417683,2679,0.01153412034411816,8
ftse250,post_super_thursday,single,path,1,-0.06045636883592363,0.07752499916006347,0.4354905754001851,-0.21240536718964803,0.09149262951780078,-0.01663963811056883,0.05600189973520632,0.7663700744953584,-0.12640336159157323,0.09312408537043555,-0.4608933110305829,0.6448751509986141,2678,0.010697811005011326,8
ftse250,post_super_thursday,single,path,2,-0.08923602075890565,0.05659879234041449,0.11487797334822013,-0.20016965374611806,0.021697612228306754,0.047442570751760865,0.08114953785161177,0.5587955661929244,-0.11161052343739822,0.20649566494091995,-1.379887530216293,0.16762127657848203,2677,0.008236046283110476,8
ftse250,post_super_thursday,single,path,3,-0.014100678073192598,0.12011396598223147,0.906547712164927,-0.24952405139836625,0.22132269525198106,0.03266648602247264,0.07955736607735518,0.6813637295737082,-0.1232659514891435,0.1885989235340888,-0.32597756785726933,0.7444413272009279,2676,0.004145060343461737,8
ftse250,post_super_thursday,single,path,4,0.07945594290151431,0.1647929916875552,0.629695074043666,-0.2435383208060939,0.4024502066091225,-0.033978681606710893,0.06938721673233618,0.6243486337446719,-0.1699776264020898,0.10202026318866803,0.6342945669781639,0.5258886015144382,2675,0.002568987498395403,8
ftse250,post_super_thursday,single,path,5,0.09790608996122047,0.20537724360084947,0.6335661991881686,-0.30463330749644446,0.5004454874188854,-0.05401568633862668,0.09863091996583492,0.5839290262815662,-0.24733228947166314,0.13930091679440976,0.6623840788372299,0.5077251046165026,2674,0.0008737644761569463,8
ftse250,post_super_thursday,single,path,6,0.10933577031834199,0.16522408585816545,0.5081363760426401,-0.2145034379636623,0.43317497860034626,-0.0987924151490613,0.09317550903399545,0.28901583712727297,-0.28141641285569235,0.08383158255756977,1.0948511207225557,0.2735818660858096,2673,0.002382393336994859,8
ftse250,post_super_thursday,single,path,7,0.06688891779567856,0.16983865765150755,0.6937006447720186,-0.2659948512012762,0.39977268679263334,-0.1502274557991626,0.09469946429459135,0.11265763614558964,-0.33583840581656166,0.035383494218236444,1.1023322647561369,0.27031724728692386,2672,0.0024454631095804924,8
ftse250,post_super_thursday,single,path,8,0.1422420214283208,0.19467770304501078,0.4649905853332733,-0.23932627653990032,0.5238103193965419,-0.17979319354877138,0.08525772733137904,0.03496012868535735,-0.3468983391182743,-0.012688047979268452,1.4909309126590478,0.13597963439522967,2671,0.0025326220549600764,8
ftse250,post_super_thursday,single,path,9,0.045262039998038135,0.16709502681025679,0.786486369804702,-0.28224421255006515,0.3727682925461414,-0.11625464671542139,0.07703113868109643,0.13125016026485387,-0.2672356785303704,0.03472638509952759,0.8526115068881721,0.39387477928226855,2670,0.0013563989196732074,8
ftse250,post_super_thursday,single,path,10,-0.02799326686240743,0.16887584582478232,0.8683439308228872,-0.3589899246789808,0.3030033909541659,-0.11244306759968968,0.090887645270004,0.216025612117845,-0.2905828523288975,0.06569671712951815,0.4273960251160516,0.6690909020828142,2669,0.0018872781280497852,8
ftse250,post_super_thursday,single,path,11,-0.06244240580297743,0.1562691003348379,0.6894640102162779,-0.3687298424592597,0.24384503085330483,-0.09907615614895253,0.09387205717152447,0.2912249544612795,-0.2830653882051405,0.08491307590723542,0.19630614436803437,0.8443705524481424,2668,0.0020214649613068403,8
ftse250,post_super_thursday,single,path,12,-0.04163851665304517,0.2109425291892032,0.8435202370808224,-0.45508587386388344,0.37180884055779306,-0.0925429707640392,0.09566589292148098,0.33336612268387067,-0.2800481208901419,0.09496217936206353,0.21652769653534157,0.8285764384710137,2667,0.0012100802291401536,8
ftse250,post_super_thursday,single,path,13,-0.03668216436406642,0.26186675336040105,0.888597176042507,-0.5499410009504525,0.47657667222231964,-0.023615811660797428,0.10162876419576797,0.8162480822333021,-0.22280818948450265,0.1755765661629078,-0.04604787080204448,0.9632720949684999,2666,0.0017020411180348471,8
ftse250,post_super_thursday,single,path,14,-0.010784118472406748,0.2830971079466937,0.969613249859176,-0.5656544500479264,0.5440862131031128,-0.04752282465030022,0.0951013649397348,0.6172813518938137,-0.23392149993218042,0.13887585063157998,0.12080301014357907,0.9038470658190286,2665,0.0020469488400379765,8
ftse250,post_super_thursday,single,path,15,0.011907154826256797,0.33231193060978753,0.971416908054141,-0.6394242291689267,0.6632385388214403,-0.06700531765314778,0.10015387822729786,0.5034803631858568,-0.2633069189786516,0.12929628367235602,0.22403224973167554,0.8227322092845027,2664,0.0014994399133481107,8
ftse250,post_super_thursday,single,path,16,0.05069995022546935,0.2806937308762666,0.856662924010655,-0.49945976229201317,0.6008596627429519,-0.04929430175297578,0.10978511360799353,0.6534264936753604,-0.2644731244246431,0.16588452091869155,0.3263825446918618,0.7441349424115454,2663,0.0011264935682632204,8
ftse250,post_super_thursday,single,path,17,0.003543840198317911,0.22320793179587878,0.9873326338870181,-0.43394370612160443,0.4410313865182403,-0.07879982956495388,0.09901759830760774,0.42613875249372035,-0.272874322247865,0.11527466311795728,0.32818797981599673,0.7427695357109974,2662,0.0012268831182615791,8
ftse250,post_super_thursday,single,path,18,-0.03784273031009281,0.2464795769710175,0.8779780280064122,-0.5209427011732871,0.44525724055310145,-0.009151308125770977,0.10823717655094196,0.9326202170585369,-0.22129617416561723,0.20299355791407528,-0.1047537063375549,0.9165712448537503,2661,0.002056680804132016,8
ftse250,post_super_thursday,single,path,19,-0.000805962655211433,0.26727463361302406,0.9975939947016148,-0.5246642445367385,0.5230523192263158,-0.01808734159115072,0.11881016446334983,0.8789997561490394,-0.2509552639393164,0.21478058075701495,0.05792461886679847,0.9538086730222818,2660,0.0029521740364931714,8
ftse250,post_super_thursday,single,path,20,-0.09656556611666249,0.29343061032061957,0.742086409195501,-0.6716895623450768,0.47855843011175186,-0.02084057573459071,0.11813052290098064,0.8599640672751816,-0.25237640062051275,0.21069524915133134,-0.2360352004471537,0.8134053557405693,2659,0.0034940217197234613,8
