index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,post_2009,joint,path,0,-0.065209993020961,0.040643214968838375,0.10861496903222645,-0.1448706943598842,0.014450708317962205,0.10976999537391711,0.04284516969832192,0.010406662845117164,0.025793462765206165,0.19374652798262806,-3.315220292605167,0.0009157093055996672,4300,0.0154179090302079,12
ftse250,post_2009,joint,path,1,-0.058675841939185784,0.055412520490858305,0.28964923691077615,-0.16728438210126806,0.0499326982228965,0.0993372490674854,0.07087645504617147,0.16104817646177794,-0.03958060282301068,0.23825510095798147,-1.8746863741344644,0.060835882528949926,4299,0.014089958919656143,12
ftse250,post_2009,joint,path,2,-0.03772386754060437,0.06531467843588568,0.5635537555602681,-0.1657406372749403,0.09029290219373157,0.14910569453059458,0.07939491798303439,0.060377652663134634,-0.006508344716152803,0.30471973377734196,-2.005261392251291,0.04493510991663151,4298,0.011140175515960582,12
ftse250,post_2009,joint,path,3,0.03502355293989523,0.08481284254491006,0.6796424729078918,-0.13120961844812848,0.20125672432791894,0.14944929974980226,0.10164501687339526,0.14147883931776453,-0.04977493332205246,0.348673532821657,-0.9077097383445644,0.3640315974660453,4297,0.008418770419573063,12
ftse250,post_2009,joint,path,4,0.06858705440737914,0.09197159853878713,0.4558234759017711,-0.11167727872864364,0.24885138754340191,0.1839435838011785,0.10386439828159301,0.07656112689095486,-0.019630636830743786,0.3875178044331008,-0.7352177613300516,0.46220688368765406,4296,0.007156664654204725,12
ftse250,post_2009,joint,path,5,0.10137396843002457,0.1064147068498536,0.34077697027173703,-0.1071988569956885,0.30994679385573765,0.204984957542501,0.13073788566194983,0.11690263895030728,-0.05126129835492066,0.4612312134399227,-0.5561540871384669,0.5781055228969824,4295,0.007057748421700816,12
ftse250,post_2009,joint,path,6,0.06898856042254076,0.1011342803820698,0.4951452883073487,-0.12923462912631606,0.26721174997139757,0.17039207094814365,0.12331933046724684,0.16705947030683366,-0.07131381676766016,0.4120979586639475,-0.6459568428502078,0.5183073052849233,4294,0.005002827201613713,12
ftse250,post_2009,joint,path,7,0.032288486588572814,0.11670380832271615,0.7820332203659599,-0.19645097772395084,0.2610279509010965,0.1644670751352271,0.12957843087126159,0.20435287139504354,-0.0895066493724456,0.4184407996428998,-0.8314736487477291,0.40570610855678413,4293,0.004134437385184375,12
ftse250,post_2009,joint,path,8,0.07704790221729825,0.1102962987743336,0.48483090441114385,-0.1391328433803956,0.2932286478149921,0.17745018014664307,0.1327361099033525,0.18126690261181932,-0.0827125952639278,0.4376129555572139,-0.5951361247314603,0.5517524830186518,4292,0.0038341000983961315,12
ftse250,post_2009,joint,path,9,0.041856192153458725,0.10026416177022648,0.6763425948212678,-0.15466156491618518,0.23837394922310265,0.15303777504455085,0.138391400471542,0.2687988165852081,-0.11820936987967146,0.42428491996877316,-0.731553335117997,0.4644412395279921,4291,0.0027833805402319722,12
