index,sample,spec,shock,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,post_2009,single,target,0,-0.0406637072396188,0.03433842101801213,0.2363321840910242,-0.10796701243492257,0.02663959795568497,0.06620541166239004,0.04869284775761787,0.17393952939581114,-0.02923256994254099,0.16164339326732108,-1.7940660074205732,0.0728026338792003,4300,0.010879615085808703,8
ftse250,post_2009,single,target,1,-0.10293731978739967,0.051831612835393455,0.04703388798231357,-0.20452728094477085,-0.0013473586300285084,0.08034340451842267,0.08100323470220532,0.32126861775004034,-0.07842293549789975,0.2391097445347451,-1.905592380502649,0.05670311146831312,4299,0.011195449492039322,8
ftse250,post_2009,single,target,2,-0.13031793153487928,0.05396411772843296,0.015739543364270282,-0.2360876022826079,-0.02454826078715068,0.17074909035443533,0.08694963125598183,0.04955675329409633,0.0003278130927109324,0.3411703676161597,-2.9505253112336414,0.0031723405051297367,4298,0.00958584075377078,8
ftse250,post_2009,single,target,3,-0.07963992699656747,0.05633394291241586,0.15744671050445636,-0.19005445510490254,0.03077460111176762,0.21694809869070922,0.1176682127954202,0.06522288935108989,-0.01368159838831437,0.4475777957697328,-2.2824801828744947,0.02246100616241303,4297,0.00692404487380327,8
ftse250,post_2009,single,target,4,0.030048866582953426,0.05922556158740017,0.6119000473451561,-0.08603323412835091,0.14613096729425776,0.2009017214744877,0.12385035999535561,0.10477493335758252,-0.0418449841164093,0.4436484270653847,-1.249729637015836,0.21139832712662798,4296,0.004545953955498727,8
ftse250,post_2009,single,target,5,0.0404326514896979,0.08328620142367923,0.6273455488552031,-0.12280830330071338,0.2036736062801092,0.27283011663183016,0.16349190708629785,0.09516330155548977,-0.04761402125731362,0.5932742545209739,-1.2698669364925446,0.20413203239769062,4295,0.0037703051123263442,8
ftse250,post_2009,single,target,6,0.058348239522767444,0.07541961421676195,0.4391389328588864,-0.08947420434208597,0.20617068338762085,0.18486683273637045,0.1429693735577481,0.19599307895495677,-0.09535313943681584,0.46508680490955673,-0.788624194473267,0.43033168570541325,4294,0.0028160875178743217,8
ftse250,post_2009,single,target,7,0.09883366355838966,0.09046353528572085,0.27460245824667107,-0.0784748656016232,0.2761421927184025,0.17169415886520406,0.1379898856423129,0.21340691717631022,-0.09876601699372922,0.44215433472413734,-0.4433138198989798,0.6575387610695759,4293,0.0023721911050998967,8
ftse250,post_2009,single,target,8,0.09881982371544902,0.084472783698491,0.24206449392996965,-0.06674683233359334,0.26438647976449137,0.10026636133205528,0.13082212993470604,0.44341886810061937,-0.15614501333996855,0.35667773600407915,-0.009271870212633834,0.992602223902538,4292,0.0012572584634447104,8
ftse250,post_2009,single,target,9,0.07457827760455119,0.09145853161068862,0.4148246714925409,-0.10468044435239851,0.25383699956150085,0.17993658157862039,0.12921785937560915,0.16376937333110064,-0.07333042279757354,0.43320358595481434,-0.6634063659581176,0.5070703298840791,4291,0.0009928406389863031,8
