index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse100,post_2009,joint,path,0,0.007543672872961001,-0.0006219836464028392,0.0004423433319342523,-0.0006219836464028392,0.0004423433319342523,0.008753651436542536,4300
ftse100,post_2009,joint,path,5,0.007543672872961001,0.0006498485143052248,0.001096317964965162,0.0006498485143052248,0.001096317964965162,0.6802291269282791,4295
ftse100,post_2009,joint,path,10,0.007543672872961001,0.000650164454526036,0.0017598049312406285,0.000650164454526036,0.0017598049312406285,0.2090855482973044,4290
ftse100,post_2009,joint,path,20,0.007543672872961001,0.0007093946521716688,0.0014721938939241093,0.0007093946521716688,0.0014721938939241093,0.6004185199775665,4280
ftse100,post_2009,joint,qe,0,0.008275834415266841,-2.817535792450556e-05,0.0003868914152123381,-2.817535792450556e-05,0.0003868914152123381,0.2695571290241249,4300
ftse100,post_2009,joint,qe,5,0.008275834415266841,-0.00026048157968852766,0.0008676879000006652,-0.00026048157968852766,0.0008676879000006652,0.2864516201467854,4295
ftse100,post_2009,joint,qe,10,0.008275834415266841,0.00018549004121728698,0.0005751765035712654,0.00018549004121728698,0.0005751765035712654,0.7162284164900273,4290
ftse100,post_2009,joint,qe,20,0.008275834415266841,0.00010996726529312122,0.0020991945188342503,0.00010996726529312122,0.0020991945188342503,0.17325449921094727,4280
ftse100,post_2009,joint,target,0,0.006034745462165063,-0.0004786895770922675,-0.00029639959380536656,-0.0004786895770922675,-0.00029639959380536656,0.4947317837533237,4300
ftse100,post_2009,joint,target,5,0.006034745462165063,-0.00032871153858640153,-0.0014206847527207438,-0.00032871153858640153,-0.0014206847527207438,0.04752203683682815,4295
ftse100,post_2009,joint,target,10,0.006034745462165063,-0.0008631609799529303,-0.0017837845856966776,-0.0008631609799529303,-0.0017837845856966776,0.1381033954432305,4290
ftse100,post_2009,joint,target,20,0.006034745462165063,-0.0006818320863243474,-0.002347560279708655,-0.0006818320863243474,-0.002347560279708655,0.15113900529301943,4280
