index,sample,spec,shock,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,pre_super_thursday,single,path,0,-0.057411758211920884,0.04741067352470775,0.22591615981762436,-0.15033667832034808,0.03551316189650631,-0.010644606774964373,0.033497897571791495,0.7506598646172028,-0.0763004860156757,0.055011272465746955,-0.7987172497203375,0.4244543822719109,4590,0.013951168099757938,8
ftse250,pre_super_thursday,single,path,1,-0.014590617016113788,0.06198919255749906,0.8139188046976342,-0.13608943442881194,0.10690820039658436,-0.015323486051610654,0.044848308605042006,0.7325964915540586,-0.10322617091749299,0.07257919881427168,0.009533530760516265,0.9923934582205789,4590,0.008578016647135644,8
ftse250,pre_super_thursday,single,path,2,-0.047934941519632186,0.08520277743037183,0.5737084196619515,-0.21493238528316097,0.11906250224389661,0.007662327091341346,0.05853893742060294,0.895860087969178,-0.10707399025304042,0.12239864443572311,-0.5361933971091357,0.5918248964385409,4590,0.004455473802849941,8
ftse250,pre_super_thursday,single,path,3,-0.06947883602609438,0.07875812467677377,0.3776795195756719,-0.22384476039257095,0.08488708834038221,-0.020286856325706485,0.058259306312018824,0.7276775379452517,-0.13447509669726337,0.09390138404585041,-0.4991796872976359,0.6176528031772393,4590,0.005001403374307101,8
ftse250,pre_super_thursday,single,path,4,-0.15096095297545237,0.09931677570064523,0.12851235756813525,-0.345621833348717,0.04369992739781228,-0.016186143435633998,0.06727745275438579,0.8098745019745105,-0.14804995083423014,0.11567766396296215,-1.1196011455158335,0.2628837672194789,4590,0.004096563334230918,8
ftse250,pre_super_thursday,single,path,5,-0.17072968923215873,0.10626739344591063,0.10814112021524774,-0.37901378038614353,0.0375544019218261,0.02244546360480756,0.08439699227398775,0.7902769547405426,-0.14297264125220843,0.18786356846182356,-1.4136622906272909,0.1574610823532684,4590,0.002476497184215498,8
ftse250,pre_super_thursday,single,path,6,-0.16717925537184333,0.1107500736969581,0.13116639982320993,-0.3842493998178812,0.04989088907419456,0.07567064174086267,0.0998577060348802,0.44857988363085666,-0.12005046208750252,0.27139174556922785,-1.6062020997448423,0.10822951216484993,4590,0.002830247175490075,8
ftse250,pre_super_thursday,single,path,7,-0.2238204255518408,0.11339739606927032,0.048407854255232155,-0.4460793218476107,-0.001561529256070976,0.08708858030389297,0.10357964236434247,0.40046638656073563,-0.11592751873021828,0.2901046793380042,-1.9965186272844424,0.045877500267463914,4590,0.003497697264060018,8
ftse250,pre_super_thursday,single,path,8,-0.21050944248834338,0.11064288442185788,0.05709241620145482,-0.4273694959551848,0.006350610978498067,0.039376168366852454,0.09944610032396287,0.6921383167873469,-0.15553818826811475,0.23429052500181966,-1.6689247546156794,0.0951322929936412,4590,0.0030871256474634956,8
ftse250,pre_super_thursday,single,path,9,-0.21410765634111056,0.11978650590923488,0.07387116860284353,-0.44888920792321096,0.02067389524098981,0.03454925452424814,0.10270647985607939,0.7365780978780085,-0.16675544599366746,0.23585395504216375,-1.5757637118985859,0.11508026823273597,4590,0.003022028749539829,8
ftse250,pre_super_thursday,single,path,10,-0.2821325530319377,0.12935543244562092,0.02917863957437964,-0.5356692006253547,-0.028595905438520697,0.01297185782716502,0.11376842575525907,0.9092220650882807,-0.21001425665314277,0.23595797230747279,-1.7081680711162075,0.08760516112169786,4590,0.0034775405035788465,8
ftse250,pre_super_thursday,single,path,11,-0.3115515954595488,0.13595731360671118,0.021932212614957036,-0.5780279301287027,-0.04507526079039492,0.005279341496103045,0.12286232577100457,0.9657257898387684,-0.23553081701506592,0.246089500007272,-1.7486525141149527,0.08035110295817167,4590,0.004476870697298296,8
