index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse_all_share,post_super_thursday,single,target,0,0.0071902210892738445,-0.00023622838627538966,-0.00039296192857550956,-0.00023622838627538966,-0.00039296192857550956,0.6658333991310059,2679
ftse_all_share,post_super_thursday,single,target,5,0.0071902210892738445,6.065278286345307e-05,-0.001002839071067387,6.065278286345307e-05,-0.001002839071067387,0.2656373713478867,2674
ftse_all_share,post_super_thursday,single,target,10,0.0071902210892738445,-0.0003168602487785163,-0.001077396068592063,-0.0003168602487785163,-0.001077396068592063,0.4619459453280037,2669
ftse_all_share,post_super_thursday,single,target,20,0.0071902210892738445,-0.0003327200240844473,-0.0012949733859970913,-0.0003327200240844473,-0.0012949733859970913,0.5175752592995354,2659
