index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse250,pre_super_thursday,joint,path,0,0.00792534084792519,-5.450283953181796e-05,0.0003075599799297454,-5.450283953181796e-05,0.0003075599799297454,0.689299674681448,4590
ftse250,pre_super_thursday,joint,path,5,0.00792534084792519,-0.00036180768751295484,0.00043499220688252233,-0.00036180768751295484,0.00043499220688252233,0.961571831555385,4590
ftse250,pre_super_thursday,joint,path,10,0.00792534084792519,-0.00032302961045862057,0.0011047656864795745,-0.00032302961045862057,0.0011047656864795745,0.7428194150448548,4590
ftse250,pre_super_thursday,joint,path,20,0.00792534084792519,-0.00035349456589726914,0.0017470560753341884,-0.00035349456589726914,0.0017470560753341884,0.6310251149230748,4590
ftse250,pre_super_thursday,joint,qe,0,0.008596139514184975,7.545375672696453e-05,-0.00036060915490562003,7.545375672696453e-05,-0.00036060915490562003,0.7939561996855375,1621
ftse250,pre_super_thursday,joint,qe,5,0.008596139514184975,-0.0009515256482332504,0.0002344199270643092,-0.0009515256482332504,0.0002344199270643092,0.7670898122055396,1621
ftse250,pre_super_thursday,joint,qe,10,0.008596139514184975,-0.00016870601764096098,0.0007650274591170918,-0.00016870601764096098,0.0007650274591170918,0.8623840210686994,1621
ftse250,pre_super_thursday,joint,qe,20,0.008596139514184975,0.0010537408708575027,0.0036350297403501867,0.0010537408708575027,0.0036350297403501867,0.21460795903794427,1621
ftse250,pre_super_thursday,joint,target,0,0.013004933296437114,-0.0007554562857518065,-0.0004916358582795367,-0.0007554562857518065,-0.0004916358582795367,0.0248127335758337,4590
ftse250,pre_super_thursday,joint,target,5,0.013004933296437114,-0.0008515645879619889,-0.001855265942756476,-0.0008515645879619889,-0.001855265942756476,0.07589293358649618,4590
ftse250,pre_super_thursday,joint,target,10,0.013004933296437114,-0.0018700330924193273,-0.0032989268217879526,-0.0018700330924193273,-0.0032989268217879526,0.034649046129746355,4590
ftse250,pre_super_thursday,joint,target,20,0.013004933296437114,-0.0015564793907987397,-0.0032254578786183796,-0.0015564793907987397,-0.0032254578786183796,0.0748219189037014,4590
