index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse100,post_super_thursday,joint,path,0,0.007674169113485067,-0.0004574234563338835,0.00028824778698891896,-0.0004574234563338835,0.00028824778698891896,0.7008103867243143,2679
ftse100,post_super_thursday,joint,path,5,0.007674169113485067,0.001112321969313913,0.0006172591363608262,0.001112321969313913,0.0006172591363608262,0.06899991683558769,2674
ftse100,post_super_thursday,joint,path,10,0.007674169113485067,0.0008273932862500556,0.0014729381931571912,0.0008273932862500556,0.0014729381931571912,0.01933777275765436,2669
ftse100,post_super_thursday,joint,path,20,0.007674169113485067,0.000740631421469448,0.001291928846793809,0.000740631421469448,0.001291928846793809,0.2703617347102072,2659
ftse100,post_super_thursday,joint,qe,0,0.008076049472597983,-0.00011078871872950146,0.0005721885811691034,-0.00011078871872950146,0.0005721885811691034,0.43687783312174866,2679
ftse100,post_super_thursday,joint,qe,5,0.008076049472597983,-0.0008047153037695496,0.0011500924246378333,-0.0008047153037695496,0.0011500924246378333,0.8775802578933479,2674
ftse100,post_super_thursday,joint,qe,10,0.008076049472597983,5.840954627468681e-05,0.0005178202289385255,5.840954627468681e-05,0.0005178202289385255,0.7402177330484869,2669
ftse100,post_super_thursday,joint,qe,20,0.008076049472597983,-0.0013776623223427421,0.0014410131687286277,-0.0013776623223427421,0.0014410131687286277,0.9772067558156973,2659
ftse100,post_super_thursday,joint,target,0,0.0071902210892738445,-0.00045200750021092784,-0.0004190516464381984,-0.00045200750021092784,-0.0004190516464381984,0.025648768428648955,2679
ftse100,post_super_thursday,joint,target,5,0.0071902210892738445,-0.000464966138158591,-0.0014431020920307276,-0.000464966138158591,-0.0014431020920307276,0.1401297467985879,2674
ftse100,post_super_thursday,joint,target,10,0.0071902210892738445,-0.0010956766923688687,-0.001972751360698562,-0.0010956766923688687,-0.001972751360698562,0.009583200555503726,2669
ftse100,post_super_thursday,joint,target,20,0.0071902210892738445,-0.0009464653212680466,-0.0017674697918192476,-0.0009464653212680466,-0.0017674697918192476,0.07774350232046248,2659
