Date,Security,Label,PX_LAST
1997-02-21,MCX Index,FTSE 250,4631.0
1997-02-21,ASX Index,FTSE All Share,2115.45
1997-02-24,UKX Index,FTSE 100,4331.1
1997-02-24,MCX Index,FTSE 250,4641.9
1997-02-24,ASX Index,FTSE All Share,2114.52
1997-02-25,UKX Index,FTSE 100,4344.7
1997-02-25,MCX Index,FTSE 250,4665.0
1997-02-25,ASX Index,FTSE All Share,2121.62
1997-02-26,UKX Index,FTSE 100,4329.3
1997-02-26,MCX Index,FTSE 250,4660.7
1997-02-26,ASX Index,FTSE All Share,2115.81
1997-02-27,UKX Index,FTSE 100,4339.2
1997-02-27,MCX Index,FTSE 250,4663.0
1997-02-27,ASX Index,FTSE All Share,2119.74
1997-02-28,UKX Index,FTSE 100,4308.3
1997-02-28,MCX Index,FTSE 250,4654.4
1997-02-28,ASX Index,FTSE All Share,2107.86
1997-03-03,UKX Index,FTSE 100,4307.1
1997-03-03,MCX Index,FTSE 250,4654.5
1997-03-03,ASX Index,FTSE All Share,2107.27
1997-03-04,UKX Index,FTSE 100,4357.7
1997-03-04,MCX Index,FTSE 250,4666.6
1997-03-04,ASX Index,FTSE All Share,2126.38
1997-03-05,UKX Index,FTSE 100,4360.1
1997-03-05,MCX Index,FTSE 250,4678.6
1997-03-05,ASX Index,FTSE All Share,2128.32
1997-03-06,UKX Index,FTSE 100,4399.3
1997-03-06,MCX Index,FTSE 250,4707.5
1997-03-06,ASX Index,FTSE All Share,2145.25
1997-03-07,UKX Index,FTSE 100,4420.3
1997-03-07,MCX Index,FTSE 250,4713.8
1997-03-07,ASX Index,FTSE All Share,2153.44
1997-03-10,UKX Index,FTSE 100,4437.4
1997-03-10,MCX Index,FTSE 250,4729.2
1997-03-10,ASX Index,FTSE All Share,2161.13
1997-03-11,UKX Index,FTSE 100,4444.3
1997-03-11,MCX Index,FTSE 250,4729.4
1997-03-11,ASX Index,FTSE All Share,2163.94
1997-03-12,UKX Index,FTSE 100,4422.5
1997-03-12,MCX Index,FTSE 250,4725.1
1997-03-12,ASX Index,FTSE All Share,2156.05
1997-03-13,UKX Index,FTSE 100,4397.7
1997-03-13,MCX Index,FTSE 250,4720.2
1997-03-13,ASX Index,FTSE All Share,2146.8
1997-03-14,UKX Index,FTSE 100,4424.3
1997-03-14,MCX Index,FTSE 250,4707.8
1997-03-14,ASX Index,FTSE All Share,2154.51
1997-03-17,UKX Index,FTSE 100,4373.3
1997-03-17,MCX Index,FTSE 250,4692.0
1997-03-17,ASX Index,FTSE All Share,2135.02
1997-03-18,UKX Index,FTSE 100,4356.8
1997-03-18,MCX Index,FTSE 250,4661.5
1997-03-18,ASX Index,FTSE All Share,2125.56
1997-03-19,UKX Index,FTSE 100,4332.2
1997-03-19,MCX Index,FTSE 250,4652.9
1997-03-19,ASX Index,FTSE All Share,2115.4
1997-03-20,UKX Index,FTSE 100,4258.1
1997-03-20,MCX Index,FTSE 250,4565.2
1997-03-20,ASX Index,FTSE All Share,2079.85
1997-03-21,UKX Index,FTSE 100,4254.8
1997-03-21,MCX Index,FTSE 250,4565.0
1997-03-21,ASX Index,FTSE All Share,2078.6
1997-03-24,UKX Index,FTSE 100,4214.8
1997-03-24,MCX Index,FTSE 250,4536.9
1997-03-24,ASX Index,FTSE All Share,2061.29
1997-03-25,UKX Index,FTSE 100,4270.7
1997-03-25,MCX Index,FTSE 250,4552.7
1997-03-25,ASX Index,FTSE All Share,2082.52
1997-03-26,UKX Index,FTSE 100,4301.5
1997-03-26,MCX Index,FTSE 250,4568.6
1997-03-26,ASX Index,FTSE All Share,2094.89
1997-03-27,UKX Index,FTSE 100,4312.9
1997-03-27,MCX Index,FTSE 250,4576.2
1997-03-27,ASX Index,FTSE All Share,2099.7
1997-04-01,UKX Index,FTSE 100,4248.1
1997-04-01,MCX Index,FTSE 250,4497.4
1997-04-01,ASX Index,FTSE All Share,2067.37
1997-04-02,UKX Index,FTSE 100,4236.6
1997-04-02,MCX Index,FTSE 250,4507.3
1997-04-02,ASX Index,FTSE All Share,2064.45
1997-04-03,UKX Index,FTSE 100,4214.6
1997-04-03,MCX Index,FTSE 250,4504.6
1997-04-03,ASX Index,FTSE All Share,2056.07
1997-04-04,UKX Index,FTSE 100,4236.6
1997-04-04,MCX Index,FTSE 250,4515.4
1997-04-04,ASX Index,FTSE All Share,2064.97
1997-04-07,UKX Index,FTSE 100,4271.7
1997-04-07,MCX Index,FTSE 250,4519.0
1997-04-07,ASX Index,FTSE All Share,2077.88
1997-04-08,UKX Index,FTSE 100,4269.3
1997-04-08,MCX Index,FTSE 250,4519.3
1997-04-08,ASX Index,FTSE All Share,2077.19
1997-04-09,UKX Index,FTSE 100,4292.3
1997-04-09,MCX Index,FTSE 250,4540.2
1997-04-09,ASX Index,FTSE All Share,2087.56
1997-04-10,UKX Index,FTSE 100,4313.2
1997-04-10,MCX Index,FTSE 250,4544.9
1997-04-10,ASX Index,FTSE All Share,2095.7
1997-04-11,UKX Index,FTSE 100,4270.7
1997-04-11,MCX Index,FTSE 250,4534.3
1997-04-11,ASX Index,FTSE All Share,2079.82
1997-04-14,UKX Index,FTSE 100,4251.7
1997-04-14,MCX Index,FTSE 250,4506.4
1997-04-14,ASX Index,FTSE All Share,2070.0
1997-04-15,UKX Index,FTSE 100,4286.8
1997-04-15,MCX Index,FTSE 250,4522.3
1997-04-15,ASX Index,FTSE All Share,2084.16
1997-04-16,UKX Index,FTSE 100,4294.6
1997-04-16,MCX Index,FTSE 250,4524.6
1997-04-16,ASX Index,FTSE All Share,2087.46
1997-04-17,UKX Index,FTSE 100,4298.9
1997-04-17,MCX Index,FTSE 250,4524.9
1997-04-17,ASX Index,FTSE All Share,2089.1
1997-04-18,UKX Index,FTSE 100,4310.5
1997-04-18,MCX Index,FTSE 250,4517.7
1997-04-18,ASX Index,FTSE All Share,2092.44
1997-04-21,UKX Index,FTSE 100,4328.7
1997-04-21,MCX Index,FTSE 250,4518.2
1997-04-21,ASX Index,FTSE All Share,2098.91
1997-04-22,UKX Index,FTSE 100,4346.1
1997-04-22,MCX Index,FTSE 250,4513.3
1997-04-22,ASX Index,FTSE All Share,2104.68
1997-04-23,UKX Index,FTSE 100,4387.7
1997-04-23,MCX Index,FTSE 250,4528.4
1997-04-23,ASX Index,FTSE All Share,2121.13
1997-04-24,UKX Index,FTSE 100,4388.5
1997-04-24,MCX Index,FTSE 250,4517.4
1997-04-24,ASX Index,FTSE All Share,2120.47
1997-04-25,UKX Index,FTSE 100,4369.7
1997-04-25,MCX Index,FTSE 250,4500.5
1997-04-25,ASX Index,FTSE All Share,2112.15
1997-04-28,UKX Index,FTSE 100,4389.7
1997-04-28,MCX Index,FTSE 250,4496.2
1997-04-28,ASX Index,FTSE All Share,2118.62
1997-04-29,UKX Index,FTSE 100,4433.2
1997-04-29,MCX Index,FTSE 250,4507.0
1997-04-29,ASX Index,FTSE All Share,2134.88
1997-04-30,UKX Index,FTSE 100,4436.0
1997-04-30,MCX Index,FTSE 250,4498.7
1997-04-30,ASX Index,FTSE All Share,2135.31
1997-05-01,UKX Index,FTSE 100,4445.0
1997-05-01,MCX Index,FTSE 250,4502.1
1997-05-01,ASX Index,FTSE All Share,2138.89
1997-05-02,UKX Index,FTSE 100,4455.6
1997-05-02,MCX Index,FTSE 250,4498.1
1997-05-02,ASX Index,FTSE All Share,2142.25
1997-05-06,UKX Index,FTSE 100,4519.3
1997-05-06,MCX Index,FTSE 250,4520.2
1997-05-06,ASX Index,FTSE All Share,2167.26
1997-05-07,UKX Index,FTSE 100,4537.5
1997-05-07,MCX Index,FTSE 250,4519.0
1997-05-07,ASX Index,FTSE All Share,2173.9
1997-05-08,UKX Index,FTSE 100,4580.4
1997-05-08,MCX Index,FTSE 250,4510.4
1997-05-08,ASX Index,FTSE All Share,2188.16
1997-05-09,UKX Index,FTSE 100,4630.9
1997-05-09,MCX Index,FTSE 250,4526.2
1997-05-09,ASX Index,FTSE All Share,2208.01
