index,sample,robustness_spec,v4_specification,shock,regime,regime_label,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,nobs,r_squared,return_lags,control_set
ftse250,full,baseline,regime_interactions,target,baseline,Baseline,0,-0.040557033312093704,0.013641204931671614,0.0029478254974639635,-0.06729379497817006,-0.013820271646017342,0.02678989685328872,0.028539529706488424,0.347887666942552,-0.02914758137142859,0.08272737507800604,7269,0.01354868847701074,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,post_qe,Post QE,0,-0.1534946985965183,0.12231208293414614,0.20949943400331228,-0.3932263811474447,0.08623698395440813,-0.12732724456126723,0.20696102051009307,0.538407254248477,-0.5329708447610496,0.2783163556385152,7269,0.01354868847701074,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,post_super_thursday,Post Super Thursday,0,-0.004599886275608402,0.12959644584325386,0.9716858920317284,-0.258608920128386,0.24940914757716917,0.10667075387421797,0.24097022586816375,0.6580030518728595,-0.3656308888273829,0.5789723965758189,7269,0.01354868847701074,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,covid_period,COVID onward,0,0.22496835654209518,0.06617432728693383,0.0006747661644176499,0.09526667505970488,0.3546700380244855,-0.04297626508513143,0.1484371269115398,0.772179620965284,-0.3339130338317494,0.2479605036614866,7269,0.01354868847701074,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,qt_period,QT onward,0,-0.21031481584319675,0.07109070240551707,0.003092394036918844,-0.3496525925580102,-0.0709770391283833,0.2621440723047252,0.09541946198162164,0.0060091630459285375,0.07512192682074678,0.4491662177887036,7269,0.01354868847701074,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,baseline,Baseline,1,-0.05329473814015782,0.020159736789620807,0.00820240264920523,-0.0928078222478146,-0.013781654032501034,0.0003034154111733501,0.029263340033527648,0.9917273238723536,-0.05705273105454084,0.05765956187688753,7268,0.011622191976033758,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,post_qe,Post QE,1,-0.11339993480969071,0.21725456405472118,0.6016925965800914,-0.5392188803569442,0.31241901073756284,-0.2317583563309574,0.23622614789657384,0.32654993753489414,-0.6947616062082421,0.2312448935463273,7268,0.011622191976033758,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,post_super_thursday,Post Super Thursday,1,-0.11313557486802671,0.222409347535821,0.6109753205369692,-0.5490578960382358,0.32278674630218246,0.12202309485852014,0.30480189569006877,0.6889092415699063,-0.47538862069401466,0.719434810411055,7268,0.011622191976033758,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,covid_period,COVID onward,1,0.3110684382408326,0.06098409573858181,3.3819846593156354e-07,0.19153961059321223,0.43059726588845293,-0.2440049857122551,0.2599659180079955,0.3479342263437042,-0.7535381850079264,0.2655282135834161,7268,0.011622191976033758,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,qt_period,QT onward,1,-0.37096408231881345,0.05649222793920849,5.146351506930324e-11,-0.4816888490796621,-0.2602393155579648,0.5315411468380661,0.18896985356120982,0.004910673807967144,0.16116023385809486,0.9019220598180373,7268,0.011622191976033758,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,baseline,Baseline,2,-0.04655148986594004,0.0359337469836108,0.1951543190643833,-0.11698163395381721,0.02387865422193712,-0.0024942481669146957,0.02309506706692368,0.9139963474235412,-0.0477605796180851,0.04277208328425571,7267,0.007311651989000301,5,own_lags_only
ftse250,full,baseline,regime_interactions,target,post_qe,Post QE,2,-0.1438752762733435,0.2824167646849486,0.6104416619073809,-0.6974121350558428,0.40966158250915574,-0.2913717021960517,0.2983947797924153,0.3288346758127526,-0.8762254705891857,0.2934820661970823,7267,0.007311651989000301,5,own_lags_only
