shock,horizon,beta_pos,se_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,ci_lower_neg,ci_upper_neg,asymmetry_pvalue,nobs,r_squared
qe,0,-0.08198939076936977,0.04309987156326521,-0.16646513903336957,0.00248635749463004,-0.010781874395163458,0.02447946062660284,-0.05876161722330503,0.03719786843297811,0.15288007276348825,7269,0.007322826141358596
qe,1,-0.11276600314978177,0.04520285830208363,-0.20136360542186568,-0.024168400877697865,-0.016938752025972573,0.032513529036112064,-0.08066526893675222,0.04678776488480707,0.08653731138721012,7268,0.010344497313927947
qe,2,-0.06864465939105238,0.05237277893993549,-0.17129530611332594,0.03400598733122118,0.039776932498571636,0.04506439122553449,-0.04854927430347596,0.12810313930061923,0.11576255506972061,7267,0.009011937431718686
qe,3,-0.03785409919393992,0.06606514958410838,-0.16734179237879235,0.0916335939909125,-0.04146884194852182,0.059227436462239956,-0.15755461741451215,0.0746169335174685,0.9673520713025408,7266,0.007652152827476111
qe,4,-0.05391220531665032,0.08245930842681315,-0.21553244983320408,0.10770803919990345,-0.07683074835288144,0.08277951846434128,-0.23907860454299035,0.08541710783722749,0.8437112763114448,7265,0.008977922063144073
qe,5,-0.09311947645864661,0.09205773719936138,-0.2735526413693949,0.08731368845210168,-0.05788632696595022,0.10122566840346482,-0.25628863703674126,0.1405159831048408,0.7964090024216344,7264,0.008522521687766904
qe,6,-0.06049968532903477,0.09257840498618876,-0.24195335910196472,0.12095398844389518,-0.025045277710629036,0.0710463969473067,-0.16429621572735018,0.11420566030609211,0.7580548482315549,7263,0.005517786889552623
qe,7,-0.025691984610491603,0.1063410018329533,-0.23412034820308006,0.18273637898209685,-0.05045195018790675,0.08593117378373621,-0.21887705080402972,0.11797315042821624,0.8550704461552234,7262,0.004383761956173515
qe,8,0.0436472300728387,0.10041391286814874,-0.15316403914873283,0.2404584992944102,-0.10060035404948302,0.09293746777879662,-0.2827577908959244,0.08155708279695835,0.2880319362836712,7261,0.00474652879736559
qe,9,-0.029604818719131277,0.11952125719783857,-0.26386648282689484,0.2046568453886323,-0.048374992314431174,0.08340497147876387,-0.21184873641280835,0.11509875178394599,0.8970687083476112,7260,0.00462667457729371
qe,10,-0.07118599309967483,0.13745865085417144,-0.34060494877385084,0.19823296257450118,-0.039695470546755214,0.08597779354348892,-0.2082119458919935,0.12882100479848307,0.8463557647610813,7259,0.004667748610693634
qe,11,-0.10828999721186665,0.14887527120552274,-0.4000855287746912,0.1835055343509579,-0.0828069806401656,0.07818259379359521,-0.23604486447561224,0.07043090319528102,0.8798367840325766,7258,0.0048345320241407475
qe,12,-0.06557293385914688,0.12628910906043234,-0.31309958761759427,0.18195371989930048,-0.1367865748773254,0.09710955544151291,-0.3271213035426907,0.0535481537880399,0.6566566174690234,7257,0.0053307062258264315
qe,13,-0.12425139688104034,0.1220322387412286,-0.3634345848138484,0.1149317910517677,-0.1229010755326366,0.12566269190805845,-0.36919995167243114,0.12339780060715796,0.993879943412014,7256,0.005448921345000413
qe,14,-0.15655002224624678,0.1280839631852731,-0.40759459008938204,0.0944945455968885,-0.1119308014185151,0.1384320107045602,-0.3832575423994531,0.15939593956242293,0.8143838148938835,7255,0.0053220791447629034
qe,15,-0.10489069916368851,0.12859720844266187,-0.35694122771130576,0.14715982938392877,-0.16351451095993907,0.1301405325778877,-0.418589954812599,0.09156093289272083,0.7485323387239174,7254,0.0056898510010278125
qe,16,-0.033511786752943105,0.12193357479654708,-0.2725015933541754,0.20547801984828917,-0.13735946750635095,0.14145322142436462,-0.4146077814981056,0.1398888464854037,0.5793840304358958,7253,0.006326187450527376
qe,17,-0.013505563627349166,0.13829970206283554,-0.2845729796705068,0.2575618524158085,-0.07329845184116938,0.13093944981203948,-0.32993977347276676,0.18334286979042796,0.7563032930258453,7252,0.0063442100791966105
qe,18,0.018047844498316378,0.13757221017859206,-0.25159368745172406,0.2876893764483568,-0.06584866286441665,0.12766252572407763,-0.3160672132836088,0.1843698875547755,0.660222218984997,7251,0.00631465996306102
qe,19,0.04458547504197168,0.13436268265987797,-0.21876538297138914,0.3079363330553325,-0.11159134942630275,0.11750914573169242,-0.3419092750604199,0.1187265762078144,0.3879522202327924,7250,0.006615046961058191
qe,20,0.0025742548588310503,0.14179742325963796,-0.27534869473005935,0.28049720444772147,-0.15486871483367978,0.12239271090486653,-0.3947584282072182,0.08502099853985862,0.40656911631398407,7249,0.006852610841518003
