component,n,missing,date_min,date_max,nonzero_count,positive_count,negative_count,mean,std,min,p01,p05,median,p95,p99,max
target,419,1,1997-06-06,2025-11-06,419,193,226,-0.002115358759139721,0.04673316144356154,-0.4210877147815764,-0.15819546315624303,-0.06703250191433023,-0.00046002265555743406,0.05370998975708454,0.1633338153827149,0.22628668691039638
path,419,1,1997-06-06,2025-11-06,419,176,243,-0.00443293697625328,0.03240319664133553,-0.14341909065151948,-0.10977184945734762,-0.056488322185462264,-0.0024132116706144465,0.04474485077051657,0.0896006387157794,0.16690512495023707
qe,419,1,1997-06-06,2025-11-06,419,198,221,-0.002112005465289784,0.028718665239711436,-0.16221288552434293,-0.10131528605376733,-0.04569864356583022,-0.0015512896634305357,0.03923998846515233,0.06808717488930525,0.12574530139796247
