index,match_source,match_value,date_col,price_col,observations,return_observations,date_min,date_max,duplicate_dates_after_cleaning,missing_prices_after_cleaning,mean_return,std_return,min_return,p01_return,p05_return,median_return,p95_return,p99_return,max_return
ftse100,Label,FTSE 100,Date,PX_LAST,7376,7375,1997-01-02,2026-03-12,0,0,0.00012627605926489424,0.011335452646824574,-0.11512428334613745,-0.032487356577715794,-0.017524420397812077,0.0005332074525039587,0.01693416105613625,0.02894771481649649,0.09384338736962405
ftse250,Label,FTSE 250,Date,PX_LAST,7376,7375,1997-01-02,2026-03-12,0,0,0.00021766876460724093,0.010256869103412744,-0.09820191297458436,-0.030281400285626283,-0.01629386733861633,0.0007626917029757152,0.01467531291595095,0.027904672061226363,0.08038750191468225
ftse_all_share,Label,FTSE All Share,Date,PX_LAST,7376,7375,1997-01-02,2026-03-12,0,0,0.00013830342663399584,0.010732276175226598,-0.110835590824518,-0.031593717719552786,-0.01668015274204082,0.0006194955647913503,0.01596269822275253,0.02769748268059387,0.08810745869576753
